param_set,exp_reg_weight,knn_k,idw_power,MAPE_24,MAPE_36,MAPE_48,MAE_24,MAE_36,MAE_48,RMSE_24,RMSE_36,RMSE_48
"(0.125, 4, 1.25)",0.125,4,1.25,0.2362395322326643,0.2327935690114839,0.2285368324636765,20091.12119971534,22633.6371758264,24186.525866420132,29021.030524821526,33139.589688502834,35816.89875690594
"(0.125, 4, 1.3)",0.125,4,1.3,0.23682015783770743,0.23341679259111014,0.22928609122454852,20112.14759645443,22660.08005573043,24234.187439739075,29058.9683021927,33194.21576526559,35886.11182878112
"(0.125, 4, 1.35)",0.125,4,1.35,0.23739590200305702,0.2340423231317815,0.23002195933909886,20135.184732584523,22687.772978664572,24281.09576994896,29100.170470327208,33252.24533647929,35957.89110980919
"(0.125, 4, 1.4)",0.125,4,1.4,0.23795553240571526,0.23465600872094336,0.2307457893926895,20158.149787142604,22715.675236811912,24329.02491928731,29144.0808697368,33313.02523506512,36031.62378862222
"(0.125, 4, 1.45)",0.125,4,1.45,0.23850721517952733,0.2352728829165176,0.23149467102516685,20182.643217026933,22746.592840620666,24387.723097816954,29190.194260863158,33375.965901207426,36106.75920600128
"(0.125, 4, 1.5)",0.125,4,1.5,0.2390576270180203,0.2358767261728663,0.2322392796978403,20208.946293487774,22778.157681974775,24447.672751036378,29238.05612309566,33440.54040394972,36182.80785122115
"(0.125, 4, 1.55)",0.125,4,1.55,0.23961311234679092,0.23646508799797245,0.23297578226235377,20236.698733123223,22809.77487190422,24506.720410060203,29287.261267861373,33506.282170605264,36259.33913816353
"(0.125, 4, 1.6)",0.125,4,1.6,0.24017480330123514,0.2370468666274037,0.23368793040938826,20265.36954770169,22842.59160534206,24563.978271137184,29337.451580013912,33572.78178584784,36335.97828012808
"(0.125, 4, 1.65)",0.125,4,1.65,0.2407490556152892,0.23763857527193197,0.23438106923761906,20296.64930029872,22879.576604825994,24620.178127538766,29388.3131580087,33639.68316890755,36412.402546303696
"(0.125, 4, 1.7)",0.125,4,1.7,0.24134425865730824,0.23822616843720623,0.23506107923568118,20330.596760960558,22918.014793169947,24676.826351332576,29439.573077915888,33706.67938318853,36488.33714099524
"(0.125, 4, 1.75)",0.125,4,1.75,0.2419392906564725,0.23882651594040424,0.23572001480230723,20365.846505809084,22957.62159151942,24731.7805022655,29490.99596238955,33773.50828119596,36563.55090322436
"(0.125, 4, 1.8)",0.125,4,1.8,0.24251637566634238,0.23941821125981,0.23636561658271898,20400.680034892408,22996.904990733998,24785.94215225805,29542.380495505302,33839.94814116557,36637.85198257506
"(0.125, 4, 1.85)",0.125,4,1.85,0.2430731264398755,0.23998671525868343,0.2369923834443047,20434.684100494138,23034.93498791185,24838.648437526525,29593.555989187724,33905.81341146182,36711.083609344714
"(0.125, 4, 1.9)",0.125,4,1.9,0.24361005915233025,0.24054116323906763,0.2375933877326529,20467.852552885524,23074.27178772047,24889.318691730925,29644.379077277663,33970.95064504976,36783.12004437368
"(0.125, 4, 1.95)",0.125,4,1.95,0.2441322440686946,0.24108547769626973,0.23817147130384225,20500.43416982595,23114.27127702334,24938.368463324412,29694.73058907486,34035.23467894387,36853.86276673046
"(0.125, 4, 2.0)",0.125,4,2.0,0.2446382400163727,0.24161061805143405,0.2387338125832187,20532.292934951376,23153.104834695627,24986.761670579228,29744.512634991574,34098.56509191302,36923.236935539695
"(0.125, 5, 0.0)",0.125,5,0.0,0.24202028050196406,0.23958168475189648,0.23240362413141918,21474.958869303657,24205.850222585985,25376.54114048355,30704.17979512097,34854.76699425486,36894.08236373474
"(0.125, 5, 0.05)",0.125,5,0.05,0.24067714669164703,0.23823840576124372,0.2312109572059323,21352.101158535614,24068.021129288238,25249.951063719956,30546.514791926817,34670.961478936275,36733.72351137629
"(0.125, 5, 0.1)",0.125,5,0.1,0.23936530202080758,0.23690347337251377,0.2300092827041349,21229.61203627896,23929.759124510976,25119.651151051905,30389.887300415234,34488.94270422617,36575.892093068804
"(0.125, 5, 0.15)",0.125,5,0.15,0.23807632870278161,0.23562552385284521,0.2288045708638688,21106.18064407976,23796.993513505655,24986.27602412668,30235.15125323062,34309.80135306575,36421.70894320951
"(0.125, 5, 0.2)",0.125,5,0.2,0.23683466385089558,0.23439805391092597,0.22766823386489882,20984.202820082282,23665.97941435498,24859.03586962792,30083.244149465514,34134.72274496796,36272.36805082925
"(0.125, 5, 0.25)",0.125,5,0.25,0.23578868213395227,0.23322068817187142,0.2267039489664146,20872.926183140153,23535.296357818715,24748.174628217294,29935.17607072247,33964.96907115077,36129.11380362285
"(0.125, 5, 0.3)",0.125,5,0.3,0.23485532365994627,0.23220011676811186,0.22588197199070295,20767.273526879835,23412.260400116742,24645.230064525073,29792.012097280112,33801.85364499096,35993.21148641921
