a,b,min_months,max_months,discard_gaps,lateral_length_ft,has_produced,sufficient_data,actual_months,API_Label,formations
-2.50833434323025,-0.0033703627789436275,36,48,True,4384.0,True,True,48,05-123-40663,NIOBRARA
-2.293779329341197,-0.0027012625144305163,36,48,True,4337.0,True,True,48,05-123-40664,NIOBRARA
-2.333297908023226,-0.0026721761084187506,36,48,True,4318.0,True,True,48,05-123-40667,NIOBRARA
-2.216969728216515,-0.003033601060881285,36,48,True,4929.0,True,True,48,05-123-40673,NIOBRARA
-2.3701779725836745,-0.0031237561771925294,36,48,True,4649.0,True,True,48,05-123-40675,NIOBRARA
-2.45729660474823,-0.002603841657548963,36,48,True,4766.0,True,True,48,05-123-40676,NIOBRARA
-2.4083846333369996,-0.0031910572195137012,36,48,True,4692.0,True,True,48,05-123-40681,NIOBRARA
-2.3848350790223507,-0.0027913834222943685,36,48,True,4795.0,True,True,48,05-123-40682,NIOBRARA
-2.7457125783789613,-0.002734047930436118,36,48,True,4306.0,True,True,48,05-123-40683,NIOBRARA
-2.9724373090202416,-0.0022808213820354113,36,48,True,4805.0,True,True,48,05-123-40684,NIOBRARA
-2.563150731640971,-0.0028397648089970432,36,48,True,4740.0,True,True,48,05-123-40685,NIOBRARA
-2.80968543143915,-0.0024555924493054222,36,48,True,4289.0,True,True,48,05-123-40688,NIOBRARA
-2.3465302452990864,-0.0031904227655994437,36,48,True,4229.0,True,True,48,05-123-40689,NIOBRARA
-2.29082984683282,-0.0027914020359191445,36,48,True,4709.0,True,True,48,05-123-40690,NIOBRARA
-2.7077719559692675,-0.002250911898326921,36,48,True,4308.0,True,True,48,05-123-40691,NIOBRARA
-2.698947104120592,-0.002031644067003211,36,48,True,10381.0,True,True,48,05-123-40808,NIOBRARA
-2.799348249913206,-0.0019548406186817562,36,48,True,10354.0,True,True,48,05-123-40812,NIOBRARA
-2.565191246228789,-0.003030078638829668,36,48,True,10360.0,True,True,48,05-123-40813,NIOBRARA
-3.0051394119616517,-0.0020653576114058373,36,48,True,10427.0,True,True,48,05-123-40815,NIOBRARA
-2.6107933159990924,-0.0020142581496849607,36,48,True,10566.0,True,True,48,05-123-40818,NIOBRARA
-2.474458072621217,-0.002298325051277563,36,48,True,10253.0,True,True,48,05-123-40819,NIOBRARA
-3.1631572813109914,-0.0022417141096448463,36,48,True,10132.0,True,True,48,05-123-41021,NIOBRARA
-3.528918022122605,-0.001708062982807337,36,48,True,10226.0,True,True,48,05-123-41024,NIOBRARA
-3.1508834941073096,-0.002083141480511612,36,48,True,4992.0,True,True,48,05-123-41038,NIOBRARA
-3.3390693141212133,-0.0026986811684950483,36,48,True,4701.0,True,True,48,05-123-41152,NIOBRARA
-3.8463413551272088,-0.001638225129960383,36,48,True,4754.0,True,True,48,05-123-41153,NIOBRARA
-2.9112870910481936,-0.003588249948808168,36,48,True,4761.0,True,True,48,05-123-41239,NIOBRARA
-2.8095897674589123,-0.0022024407050571996,36,48,True,4742.0,True,True,48,05-123-41243,NIOBRARA
-3.1911355560176617,-0.0018926994856368676,36,48,True,10257.0,True,True,48,05-123-41445,NIOBRARA
-3.629583218522561,-0.0018052096336077371,36,48,True,10309.0,True,True,48,05-123-41446,CARLILE-CODELL-FORT HAYS
-3.5189113652574204,-0.0014283649812075758,36,48,True,10146.0,True,True,48,05-123-41448,NIOBRARA
-3.1754212849126104,-0.0017656965839388395,36,48,True,10300.0,True,True,48,05-123-41451,NIOBRARA
-3.3208154968672865,-0.0022207356227867997,36,48,True,10184.0,True,True,48,05-123-41452,NIOBRARA
-3.6000107917641575,-0.0019518509032762756,36,48,True,10170.0,True,True,48,05-123-41481,CODELL-FORT HAYS
-3.8567990192685717,-0.0022608826164845722,36,48,True,8051.0,True,True,48,05-123-41491,NIOBRARA
-2.7876910729825406,-0.0011034560342575064,36,48,True,4842.0,True,True,48,05-123-41561,CODELL|CODELL-FORT HAYS|FORT HAYS
-2.3862663609423107,-0.0025707475418569412,36,48,True,4685.0,True,True,48,05-123-41562,NIOBRARA
-2.164460747557919,-0.002612558346899349,36,48,True,4678.0,True,True,48,05-123-41563,NIOBRARA
-2.3453509259587815,-0.002569816040734623,36,48,True,4771.0,True,True,48,05-123-41564,NIOBRARA
-2.304284955874531,-0.002656998551081391,36,48,True,4725.0,True,True,48,05-123-41565,NIOBRARA
-2.0823148696789726,-0.003047072452612404,36,48,True,4716.0,True,True,48,05-123-41566,NIOBRARA
-2.5632927576843616,-0.0018270331961651452,36,48,True,4731.0,True,True,48,05-123-41567,NIOBRARA
-2.208622051074404,-0.0028648068164081253,36,48,True,4483.0,True,True,48,05-123-41568,NIOBRARA
-2.000500468547707,-0.0023332551809318513,36,48,True,4832.0,True,True,48,05-123-41584,NIOBRARA
-2.062168622797129,-0.0026914802782070377,36,48,True,4771.0,True,True,48,05-123-41585,NIOBRARA
-2.1946161633187833,-0.0019245518893308837,36,48,True,4841.0,True,True,48,05-123-41586,NIOBRARA
-2.294397083357843,-0.0021579334468483746,36,48,True,4752.0,True,True,48,05-123-41587,NIOBRARA
-2.0954000773978314,-0.0031389656145710057,36,48,True,4776.0,True,True,48,05-123-41588,NIOBRARA
-2.102611231896809,-0.0024715013586683815,36,48,True,4699.0,True,True,48,05-123-41589,NIOBRARA
-2.433382786408751,-0.0025389809420026514,36,48,True,4670.0,True,True,48,05-123-41590,NIOBRARA
-3.485709360884204,-0.002461188886153347,36,48,True,8205.0,True,True,48,05-123-41641,NIOBRARA
-3.7871954204052773,-0.002264665586307313,36,48,True,8212.0,True,True,48,05-123-41642,NIOBRARA
-4.124770757848406,-0.00264139334597981,36,48,True,8164.0,True,True,48,05-123-41643,NIOBRARA-FT HAYS-CODELL
